DateTime,Energy Produced (Wh)
10/4/2018 0:00,5518
10/5/2018 0:00,11615
10/6/2018 0:00,21162
10/7/2018 0:00,20957
10/8/2018 0:00,23658
10/9/2018 0:00,23433
10/10/2018 0:00,14293
10/11/2018 0:00,13076
10/12/2018 0:00,17750
10/13/2018 0:00,16448
10/14/2018 0:00,11019
10/15/2018 0:00,2439
10/16/2018 0:00,22276
10/17/2018 0:00,26041
10/18/2018 0:00,27011
10/19/2018 0:00,16696
10/20/2018 0:00,15681
10/21/2018 0:00,21458
10/22/2018 0:00,21043
10/23/2018 0:00,25759
10/24/2018 0:00,25778
10/25/2018 0:00,9454
10/26/2018 0:00,4662
10/27/2018 0:00,2230
10/28/2018 0:00,4636
10/29/2018 0:00,11131
10/30/2018 0:00,10537
10/31/2018 0:00,1659
11/1/2018 0:00,736
11/2/2018 0:00,3302
11/3/2018 0:00,19284
11/4/2018 0:00,16774
11/5/2018 0:00,7614
11/6/2018 0:00,11155
11/7/2018 0:00,21100
11/8/2018 0:00,12745
11/9/2018 0:00,2591
11/10/2018 0:00,16844
11/11/2018 0:00,23591
11/12/2018 0:00,3332
11/13/2018 0:00,3955
11/14/2018 0:00,9160
11/15/2018 0:00,1832
11/16/2018 0:00,511
11/17/2018 0:00,6616
11/18/2018 0:00,8835
11/19/2018 0:00,1192
11/20/2018 0:00,3152
11/21/2018 0:00,2911
11/22/2018 0:00,9058
11/23/2018 0:00,16477
11/24/2018 0:00,1633
11/25/2018 0:00,14636
11/26/2018 0:00,1193
11/27/2018 0:00,601
11/28/2018 0:00,10248
11/29/2018 0:00,2439
11/30/2018 0:00,4726
12/1/2018 0:00,792
12/2/2018 0:00,19660
12/3/2018 0:00,2532
12/4/2018 0:00,3078
12/5/2018 0:00,3018
12/6/2018 0:00,4055
12/7/2018 0:00,20057
12/8/2018 0:00,15796
12/9/2018 0:00,13895
12/10/2018 0:00,4134
12/11/2018 0:00,20745
12/12/2018 0:00,8913
12/13/2018 0:00,8498
12/14/2018 0:00,8243
12/15/2018 0:00,447
12/16/2018 0:00,3241
12/17/2018 0:00,19181
12/18/2018 0:00,20264
12/19/2018 0:00,18977
12/20/2018 0:00,2565
12/21/2018 0:00,1501
